Description,Price,Rating,Review_count,Url
"Ergonomic Office Chair with Foot Rest,FelixKing Breathable Mesh Desk Chair, Lumbar Support Computer Chair with Flip-up Arms, Swivel Task Chair, Adjustable Height Home Gaming Chair (968，Black",$229.99,4.5 out of 5 stars,51,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg19_1?ie=UTF8&adId=A04022371671UG1337GLH&url=%2FErgonomic-FelixKing-Breathable-Adjustable-968%25EF%25BC%258CBlack%2Fdp%2FB09YY518RL%2Fref%3Dsr_1_871_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-871-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_mtf
"Office Chair, Magic Life Adjustable Desk Chair Flip-up Armrest, Rebound Seat Cushion, Breathable Mesh High Back, Comfortable Lumbar Support, Movable Headrest 360° Rotation, Black",$139.99,3.9 out of 5 stars,111,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg19_1?ie=UTF8&adId=A0523182Q847QV0JXMIH&url=%2FMagic-Life-Adjustable-Breathable-Comfortable%2Fdp%2FB09FDQXPC7%2Fref%3Dsr_1_872_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-872-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_mtf
"HyperX Stealth Gaming Chair - Ergonomic Gaming Chair - Leather Upholstery Video Game Chair, Adjustable Lumbar Support - Red, Black Racing - Works with Hyper X Cloud II 2 or Alpha Headset Chair Gaming",$469.99,3.3 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg19_1?ie=UTF8&adId=A087507419HATWO9GFPT7&url=%2FHyperX-Stealth-Gaming-Chair-Upholstery%2Fdp%2FB09M8W6H18%2Fref%3Dsr_1_873_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-873-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_btf
Samadhaan Meditation Floor Chair,$229.00,4.8 out of 5 stars,13,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg19_1?ie=UTF8&adId=A073693614BHHDQDK9H6W&url=%2FSamadhaan-Relaxing-Meditation-Support-Cushion%2Fdp%2FB09MB238B1%2Fref%3Dsr_1_874_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-874-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_btf
BESTUHL J17 Home Office Desk Chair - Mesh Back with Lumbar Support (Black),$349.00,5.0 out of 5 stars,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg19_1?ie=UTF8&adId=A018376437GSIR29KA6B5&url=%2FBESTUHL-Ergonomic-Executive-Office-Computer%2Fdp%2FB09KGY5JSN%2Fref%3Dsr_1_875_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-875-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_btf
GAMERZONE Heavy Duty Gaming Chair with Footrest Ergonomic Office Chair with Lumbar Support and Headrest PU Leather Computer Chairs for Adults (Black & Red),$249.99,5.0 out of 5 stars,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg19_1?ie=UTF8&adId=A10086007B3JQ0XQO5DG&url=%2FGAMERZONE-Footrest-Ergonomic-Headrest-Computer%2Fdp%2FB09WPQ6MCZ%2Fref%3Dsr_1_876_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-876-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_btf
"Office Chair, KERDOM Ergonomic Desk Chair, Breathable Mesh Computer Chair, Comfy Swivel Task Chair with Flip-up Armrests and Adjustable Height",$129.99,4.3 out of 5 stars,278,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A05832183QHL6AGNNY2C&url=%2FKERDOM-Ergonomic-Breathable-Computer-Adjustable%2Fdp%2FB0957N9LN6%2Fref%3Dsr_1_913_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103587%26sr%3D8-913-spons%26psc%3D1&qualifier=1658103587&id=6057476636226920&widgetName=sp_atf_next
Ergonomic Office Chair Mesh Back Office Desk Chair Computer Chair Mid Back Task Chair for Home Office Gaming,$79.95,4.1 out of 5 stars,67,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A00648423VW60P6HAEQGR&url=%2FErgonomic-Office-Chair-Computer-Gaming%2Fdp%2FB09SH39482%2Fref%3Dsr_1_914_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103587%26sr%3D8-914-spons%26psc%3D1&qualifier=1658103587&id=6057476636226920&widgetName=sp_atf_next
"Cute Seat Cushion,Lazy Sofa Cat Paw Shape Lazy Sofa,Office Chair Cushion,Floor Mat,Bear Paw Office Chair Cushion for Dining Room,Bedroom, Office Chair Or Sofa (White)",$27.99,4.6 out of 5 stars,7,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A0326402C205EH61LK3A&url=%2FCushion-Shape-Office-Dining-Bedroom%2Fdp%2FB09KXWW4P4%2Fref%3Dsr_1_915_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103587%26sr%3D8-915-spons%26psc%3D1&qualifier=1658103587&id=6057476636226920&widgetName=sp_atf_next
Gaming Blanket 50 x 60 Inch Gaming Blanket 3D Printed for Boy Kids Radixnine Soft and Cozy Flannel Blankets for Couch Beds Bedroom Sofa Chair,$29.99,4.4 out of 5 stars,35,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A016867911ZDY0NH2282P&url=%2FRadixnine-Blanket-Printed-Flannel-Blankets%2Fdp%2FB09DT3FXX9%2Fref%3Dsr_1_916_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103587%26sr%3D8-916-spons%26psc%3D1&qualifier=1658103587&id=6057476636226920&widgetName=sp_atf_next
